Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
ARAQ,Araq-e-Ajeeb,,5 ml.,,,,17.5,ARAQ
ARAQ,Araq-e-Badiyan,,200 ml.,,,,13.32,ARAQ
ARAQ,Araq-e-Gaozaban,,200 ml.,,,,19.85,ARAQ
ARAQ,Araq-e-Kasni,,200 ml.,,,,15.44,ARAQ
ARAQ,Araq-e-Mako,,200 ml.,,,,15.76,ARAQ
ARISHTA,Abhayarishta,,200 ml.,,,,39.47,ARISHTA
ARISHTA,Abhayarishta,,450 ml.,,,,88.15,ARISHTA
ARISHTA,Amratarishta,,450 ml.,,,,93.24,ARISHTA
ARISHTA,Amritarishta,,200 ml.,,,,41.72,ARISHTA
ARISHTA,Arjunarishta,,200 ml.,,,,32.21,ARISHTA
ARISHTA,Arjunarishta,,450 ml.,,,,71.82,ARISHTA
ARISHTA,Ashokarishta,,200 ml.,,,,23.4,ARISHTA
ARISHTA,Ashokarishta,,450 ml.,,,,52.01,ARISHTA
ARISHTA,Ashvagandhadyarishta,,200 ml.,,,,94.47,ARISHTA
ARISHTA,Ashvagandhadyarishta,,450 ml.,,,,211.92,ARISHTA
ARISHTA,Balarishta,,200 ml.,,,,28.58,ARISHTA
ARISHTA,Balarishta,,450 ml.,,,,63.65,ARISHTA
ARISHTA,Dasmuladyarishta,,200 ml.,,,,41.46,ARISHTA
ARISHTA,Dasmuladyarishta,,450 ml.,,,,92.64,ARISHTA
ARISHTA,Jeerkadyarishta,,200 ml.,,,,52.1,ARISHTA
ARISHTA,Jeerkadyarishta,,450 ml.,,,,116.57,ARISHTA
ARISHTA,Jeerkadyarishta,,300 ml.,,,,82.87,ARISHTA
ARISHTA,Khadirarishta,,200 ml.,,,,64.32,ARISHTA
ARISHTA,Khadirarishta,,450 ml.,,,,144.07,ARISHTA
ARISHTA,Kutajarishta,,200 ml.,,,,30.16,ARISHTA
ARISHTA,Kutajarishta,,450 ml.,,,,67.22,ARISHTA
ARISHTA,Mustakarishta,,200 ml.,,,,34.37,ARISHTA
ARISHTA,Mustakarishta,,450 ml.,,,,76.69,ARISHTA
ARISHTA,Mustakarishta,,300 ml.,,,,56.28,ARISHTA
ARISHTA,Rohitakarishta,,200 ml.,,,,19.05,ARISHTA
ARISHTA,Rohitakarishta,,450 ml.,,,,42.23,ARISHTA
ARISHTA,Vidangarishta,,200 ml.,,,,63.85,ARISHTA
ARISHTA,Vidangarishta,,450 ml.,,,,143,ARISHTA
ARKA,Mishreyark (Ark Saunfa),,100 ml.,,,,7.9,ARKA
ARKA,Yavanyarka (Ark Ajvayan),,100 ml.,,,,8.45,ARKA
ASAVA,Aravindasava,,200 ml.,,,,20.06,ASAVA
ASAVA,Aravindasava,,450 ml.,,,,44.48,ASAVA
ASAVA,Aravindasava,,80 ml.,,,,9.92,ASAVA
ASAVA,Chandanasava,,200 ml.,,,,28.82,ASAVA
ASAVA,Chandanasava,,450 ml.,,,,64.19,ASAVA
ASAVA,Drakshasava,,200 ml.,,,,52.39,ASAVA
ASAVA,Drakshasava,,450 ml.,,,,117.24,ASAVA
ASAVA,Drakshasava,,400 ml.,,,,105.93,ASAVA
ASAVA,Kankasava,,200 ml.,,,,24.85,ASAVA
ASAVA,Kankasava,,450 ml.,,,,55.28,ASAVA
ASAVA,Kumaryasava(A),,200 ml.,,,,28.93,ASAVA
ASAVA,Kumaryasava(A),,450 ml.,,,,64.45,ASAVA
ASAVA,Lohasava,,200 ml.,,,,23.07,ASAVA
ASAVA,Lohasava,,450 ml.,,,,51.26,ASAVA
ASAVA,Punarnavasava,,200 ml.,,,,20.79,ASAVA
ASAVA,Punarnavasava,,450 ml.,,,,46.13,ASAVA
ASAVA,Rodhrasava/Lodhrasava,,200 ml.,,,,49.34,ASAVA
ASAVA,Rodhrasava/Lodhrasava,,450 ml.,,,,110.37,ASAVA
ASAVA,Sarivadyasava,,200 ml.,,,,39.61,ASAVA
ASAVA,Sarivadyasava,,450 ml.,,,,88.48,ASAVA
ASAVA,Vaskasava(Vasakarishta),,200 ml.,,,,19.65,ASAVA
ASAVA,Vaskasava(Vasakarishta),,450 ml.,,,,43.57,ASAVA
Awaleha & Pak,Agastyaharitaki Rasayan,,100 gms.(J),,,,33.18,Awaleha & Pak
Awaleha & Pak,Agastyaharitaki Rasayan,,300 gms.,,,,89.44,Awaleha & Pak
Awaleha & Pak,Bilwadi Leha,,100 gms.(J),,,,56.42,Awaleha & Pak
Awaleha & Pak,Brahm Rasayan,,100 gms.(J),,,,34,Awaleha & Pak
Awaleha & Pak,Brahm Rasayan,,450 gms.,,,,127.12,Awaleha & Pak
Awaleha & Pak,Chitrakharitaki,,100 gms.(J),,,,32.8,Awaleha & Pak
Awaleha & Pak,Chitrakharitaki,,96 gms.(J),,,,31.91,Awaleha & Pak
Awaleha & Pak,Chitrakharitaki,,180 gms.(J),,,,54.73,Awaleha & Pak
Awaleha & Pak,Chyavan Prash,,180 gms.,,,,80.7,Awaleha & Pak
Awaleha & Pak,Chyavan Prash,,450 gms.,,,,186.63,Awaleha & Pak
Awaleha & Pak,Chyavan Prash,,1 Kg.,,,,410.37,Awaleha & Pak
Awaleha & Pak,Haridra Khanda,,100 gms.(J),,,,37.42,Awaleha & Pak
Awaleha & Pak,Kantakaryavaleha(Syp.),,100 ml.,,,,23.66,Awaleha & Pak
Awaleha & Pak,Kantakaryavaleha(Syp.),,300 ml.,,,,72.15,Awaleha & Pak
Awaleha & Pak,Kushmandaka Rasayana,,100 gms.(J),,,,43.59,Awaleha & Pak
Awaleha & Pak,Kushmandaka Rasayana,,450 gms.,,,,170.24,Awaleha & Pak
Awaleha & Pak,Kutajavaleha (Syp.),,100 ml.,,,,34,Awaleha & Pak
Awaleha & Pak,Kutajavaleha (Syp.),,300 ml.,,,,103.19,Awaleha & Pak
Awaleha & Pak,Madhusnuhi Rasayan,,100 gms.(J),,,,71.51,Awaleha & Pak
Awaleha & Pak,Pugakhand (Suparipak),,100 gms.(J),,,,57.26,Awaleha & Pak
Awaleha & Pak,Satavari Guda,,100 gms.(J),,,,81.41,Awaleha & Pak
Awaleha & Pak,Saubhagyashunthi,,100 gms.(J),,,,52.67,Awaleha & Pak
Awaleha & Pak,Vasavaleha,,100 gms.(J),,,,44.35,Awaleha & Pak
BHASMA,Godanti Bhasma,,5 gms.,,,,10.01,BHASMA
BHASMA,Godanti Bhasma,,100 gms.,,,,96.71,BHASMA
BHASMA,Godanti Bhasma,,1 Kg.,,,,907.43,BHASMA
BHASMA,Kapardika Bhasma,,5 gms.,,,,8.55,BHASMA
BHASMA,Kapardika Bhasma,,100 gms.,,,,67.6,BHASMA
BHASMA,Kapardika Bhasma,,1 Kg.,,,,616.65,BHASMA
BHASMA,Muktashukti Bhasma,,5 gms.,,,,8.21,BHASMA
BHASMA,Muktashukti Bhasma,,100 gms.,,,,60.59,BHASMA
BHASMA,Muktashukti Bhasma,,1 Kg.,,,,546.16,BHASMA
BHASMA,Praval Bhasma,,2 gms.,,,,33.94,BHASMA
BHASMA,Praval Bhasma,,5 gms.,,,,76.32,BHASMA
BHASMA,Praval Bhasma,,1 Kg.,,,,14167.34,BHASMA
BHASMA,Shankha Bhasma,,5 gms.,,,,7.12,BHASMA
BHASMA,Shankha Bhasma,,100 gms.,,,,38.89,BHASMA
BHASMA,Shankha Bhasma,,1 Kg.,,,,329.19,BHASMA
BHASMA,Sphatika Bhasma,,5 gms.,,,,5.92,BHASMA
BHASMA,Sphatika Bhasma,,100 gms.,,,,14.78,BHASMA
BHASMA,Sphatika Bhasma,,1 Kg.,,,,88.08,BHASMA
BHASMA,Tankan Bhasma,,5 gms.,,,,6.64,BHASMA
BHASMA,Tankan Bhasma,,100 gms.,,,,29.34,BHASMA
BHASMA,Tankan Bhasma,,1 Kg.,,,,233.72,BHASMA
BHASMA,Tankan Bhasma,,500 gms.,,,,120.24,BHASMA
CHOORNA,Ajmodadi Choorna,,50 gms.,,,,26.8,CHOORNA
CHOORNA,Ajmodadi Choorna,,1 Kg.,,,,375.82,CHOORNA
CHOORNA,Amalaki Choorna,,100 gms.,,,,44.18,CHOORNA
CHOORNA,Amalaki Choorna,,1 Kg.,,,,382.1,CHOORNA
CHOORNA,Ashtang Lavan Choorna,,50 gms.,,,,42.06,CHOORNA
CHOORNA,Ashtang Lavan Choorna,,1 Kg.,,,,681.05,CHOORNA
CHOORNA,Ashwagandha Choorna,,50 gms.,,,,33.73,CHOORNA
CHOORNA,Ashwagandha Choorna,,1 Kg.,,,,514.41,CHOORNA
CHOORNA,Avipattikar Choorna,,50 gms.,,,,32.53,CHOORNA
CHOORNA,Avipattikar Choorna,,1 Kg.,,,,490.35,CHOORNA
CHOORNA,Bakuchi Choorna,,10 gms.,,,,7.87,CHOORNA
CHOORNA,Bakuchi Choorna,,1 Kg.,,,,272.8,CHOORNA
CHOORNA,Balchaturbhadrika Choorna,,25 gms.,,,,198.05,CHOORNA
CHOORNA,Balchaturbhadrika Choorna,,1 Kg.,,,,7651.46,CHOORNA
CHOORNA,Bhaskarlavan Choorna,,50 gms.,,,,30.25,CHOORNA
CHOORNA,Bhaskarlavan Choorna,,1 Kg.,,,,444.8,CHOORNA
CHOORNA,Dadimastak Choorna,,50 gms.,,,,35.02,CHOORNA
CHOORNA,Dadimastak Choorna,,1 Kg.,,,,540.26,CHOORNA
CHOORNA,Dashana Sanskar Choorna,,20 gms.,,,,18.99,CHOORNA
CHOORNA,Dashana Sanskar Choorna,,1 Kg.,,,,600.58,CHOORNA
CHOORNA,Guduchi Satva Choorna,,50 gms.,,,,29.96,CHOORNA
CHOORNA,Guduchi Satva Choorna,,100 gms.,,,,49.87,CHOORNA
CHOORNA,Haritaki Choorna,,50 gms.,,,,17.93,CHOORNA
CHOORNA,Haritaki Choorna,,1 Kg.,,,,198.39,CHOORNA
CHOORNA,Hingwastak Choorna,,50 gms.,,,,54,CHOORNA
CHOORNA,Hingwastak Choorna,,1 Kg.,,,,919.84,CHOORNA
CHOORNA,Madhuyasti Choorna,,25 gms.,,,,16.5,CHOORNA
CHOORNA,Madhuyasti Choorna,,1 Kg.,,,,389.31,CHOORNA
CHOORNA,Panchnimba Choorna,,50 gms.,,,,43.02,CHOORNA
CHOORNA,Panchnimba Choorna,,1 Kg.,,,,700.26,CHOORNA
CHOORNA,Pipali Choorna,,25 gms.,,,,59.47,CHOORNA
CHOORNA,Pipali Choorna,,1 Kg.,,,,2108.16,CHOORNA
CHOORNA,Pushyanug Choorna,,50 gms.,,,,434.76,CHOORNA
CHOORNA,Pushyanug Choorna,,1 Kg.,,,,8535.11,CHOORNA
CHOORNA,Pushyanug Choorna,,90 gms.,,,,774.57,CHOORNA
CHOORNA,Shunthi Choorna,,25 gms.,,,,21.66,CHOORNA
CHOORNA,Shunthi Choorna,,1 Kg.,,,,595.87,CHOORNA
CHOORNA,Sitopaladi Choorna,,25 gms.,,,,37.29,CHOORNA
CHOORNA,Sitopaladi Choorna,,50 gms.,,,,69.07,CHOORNA
CHOORNA,Sitopaladi Choorna,,1 Kg.,,,,1221.14,CHOORNA
CHOORNA,Somlata Choorna,,25 gms.,,,,14.45,CHOORNA
CHOORNA,Somlata Choorna,,500 gms.,,,,157.05,CHOORNA
CHOORNA,Sudarsana Choorna,,25 gms.,,,,22.18,CHOORNA
CHOORNA,Sudarsana Choorna,,1 Kg.,,,,616.62,CHOORNA
CHOORNA,Sudha Svaran Gairik Choorna,,10 gms.,,,,6.68,CHOORNA
CHOORNA,Sudha Svaran Gairik Choorna,,50 gms.,,,,15.72,CHOORNA
CHOORNA,Talisadi  Choorna,,50 gms.,,,,39,CHOORNA
CHOORNA,Talisadi  Choorna,,1 Kg.,,,,619.83,CHOORNA
CHOORNA,Triphala Choorna,,50 gms.,,,,22.7,CHOORNA
