Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
ARAQ,Araq-e-Ajeeb,,5 ml.,,,,17.5,
ARAQ,Araq-e-Badiyan,,200 ml.,,,,13.32,
ARAQ,Araq-e-Gaozaban,,200 ml.,,,,19.85,
ARAQ,Araq-e-Kasni,,200 ml.,,,,15.44,
ARAQ,Araq-e-Mako,,200 ml.,,,,15.76,
ARISHTA,Abhayarishta,,200 ml.,,,,39.47,
ARISHTA,Abhayarishta,,450 ml.,,,,88.15,
ARISHTA,Amratarishta,,450 ml.,,,,93.24,
ARISHTA,Amritarishta,,200 ml.,,,,41.72,
ARISHTA,Arjunarishta,,200 ml.,,,,32.21,
ARISHTA,Arjunarishta,,450 ml.,,,,71.82,
ARISHTA,Ashokarishta,,200 ml.,,,,23.4,
ARISHTA,Ashokarishta,,450 ml.,,,,52.01,
ARISHTA,Ashvagandhadyarishta,,200 ml.,,,,94.47,
ARISHTA,Ashvagandhadyarishta,,450 ml.,,,,211.92,
ARISHTA,Balarishta,,200 ml.,,,,28.58,
ARISHTA,Balarishta,,450 ml.,,,,63.65,
ARISHTA,Dasmuladyarishta,,200 ml.,,,,41.46,
ARISHTA,Dasmuladyarishta,,450 ml.,,,,92.64,
ARISHTA,Jeerkadyarishta,,200 ml.,,,,52.1,
ARISHTA,Jeerkadyarishta,,450 ml.,,,,116.57,
ARISHTA,Jeerkadyarishta,,300 ml.,,,,82.87,
ARISHTA,Khadirarishta,,200 ml.,,,,64.32,
ARISHTA,Khadirarishta,,450 ml.,,,,144.07,
ARISHTA,Kutajarishta,,200 ml.,,,,30.16,
ARISHTA,Kutajarishta,,450 ml.,,,,67.22,
ARISHTA,Mustakarishta,,200 ml.,,,,34.37,
ARISHTA,Mustakarishta,,450 ml.,,,,76.69,
ARISHTA,Mustakarishta,,300 ml.,,,,56.28,
ARISHTA,Rohitakarishta,,200 ml.,,,,19.05,
ARISHTA,Rohitakarishta,,450 ml.,,,,42.23,
ARISHTA,Vidangarishta,,200 ml.,,,,63.85,
ARISHTA,Vidangarishta,,450 ml.,,,,143,
ARKA,Mishreyark (Ark Saunfa),,100 ml.,,,,7.9,
ARKA,Yavanyarka (Ark Ajvayan),,100 ml.,,,,8.45,
ASAVA,Aravindasava,,200 ml.,,,,20.06,
ASAVA,Aravindasava,,450 ml.,,,,44.48,
ASAVA,Aravindasava,,80 ml.,,,,9.92,
ASAVA,Chandanasava,,200 ml.,,,,28.82,
ASAVA,Chandanasava,,450 ml.,,,,64.19,
ASAVA,Drakshasava,,200 ml.,,,,52.39,
ASAVA,Drakshasava,,450 ml.,,,,117.24,
ASAVA,Drakshasava,,400 ml.,,,,105.93,
ASAVA,Kankasava,,200 ml.,,,,24.85,
