Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Patent Medicines,Ayush 64 40 T/C,,,,,,,
Patent Medicines,Ayush 64 1000 T/C,,,,,,,
Patent Medicines,M-Liv 40 T/C,,,,,,,
Patent Medicines,M-Liv 1000 T/C,,,,,,,
Patent Medicines,M-Liv Syrup 100 ml,,,,,,,
Patent Medicines,M-Liv Syrup 200 ml,,,,,,,
Patent Medicines,M-Liv Syrup 450 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 100 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 200 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 450 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 100 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 200 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 450 ml,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 40 T/C,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 40 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Brahmi Rasayan 100 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 5 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 100 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 50 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 1 kg,,,,,,,
Rasa,Anandbhairava Rasa 5 gm,,,,,,,
Rasa,Anandbhairava Rasa 100 gm,,,,,,,
Rasa,Arshakuthar Rasa 5 gm,,,,,,,
Rasa,Arshakuthar Rasa 10 gm,,,,,,,
Rasa,Arshakuthar Rasa 100 gm,,,,,,,
Rasa,Chandramrita Rasa 5 gm,,,,,,,
Rasa,Chandramrita Rasa 100 gm,,,,,,,
Rasa,Ekangvira Rasa 5 gm,,,,,,,
Rasa,Ekangvira Rasa 100 gm,,,,,,,
Rasa,Hydayarnava Rasa 5 gm,,,,,,,
Rasa,Hydayarnava Rasa 100 gm,,,,,,,
Rasa,Kamdugha Rasa (Amlapitta) Without Mukta 5 gm,,,,,,,
Rasa,Kamdugha Rasa (Amlapitta) Without Mukta 100 gm,,,,,,,
Rasa,Kamdugha Rasa (Jvar) 5 gm,,,,,,,
Rasa,Kamdugha Rasa (Jvar) 100 gm,,,,,,,
Rasa,Krimimudgar Rasa 5 gm,,,,,,,
Rasa,Krimimudgar Rasa 100 gm,,,,,,,
Rasa,Lakshmivilas Rasa (Naradiya) 5 gm,,,,,,,
Rasa,Lakshmivilas Rasa (Naradiya) 100 gm,,,,,,,
Rasa,Laghu Malini Vasanta Rasa 5 gm,,,,,,,
Rasa,Laghu Malini Vasanta Rasa 100 gm,,,,,,,
Rasa,Laghu Sutashekhara Rasa 5 gm,,,,,,,
Rasa,Laghu Sutashekhara Rasa 100 gm,,,,,,,
Rasa,Mritunjaya Rasa 5 gm,,,,,,,
Rasa,Mritunjaya Rasa 100 gm,,,,,,,
Rasa,Navjivan Rasa 5 gm,,,,,,,
Rasa,Navjivan Rasa 100 gm,,,,,,,
Rasa,Nityodit Rasa 10 gm,,,,,,,
Rasa,Nityodit Rasa 100 gm,,,,,,,
Rasa,Praval Panchamrita Rasa 5 gm,,,,,,,
Rasa,Rasamanikya 5 gm,,,,,,,
Rasa,Rasamanikya 100 gm,,,,,,,
Rasa,Shirah Shuladri Vajra Rasa 5 gm,,,,,,,
Rasa,Shirah Shuladri Vajra Rasa 100 gm,,,,,,,
Rasa,Shringarabhra Rasa 5 gm,,,,,,,
Rasa,Shringarabhra Rasa 100 gm,,,,,,,
Rasa,Smritisagar Rasa 5 gm,,,,,,,
Rasa,Smritisagar Rasa 100 gm,,,,,,,
Rasa,Sutashekhara Rasa Without Gold 5 gm,,,,,,,
Rasa,Sutashekhara Rasa Without Gold 100 gm,,,,,,,
Rasa,Swaskuthara Rasa 5 gm,,,,,,,
Rasa,Swaskuthara Rasa 100 gm,,,,,,,
Rasa,Tribhuvankirti Rasa 5 gm,,,,,,,
Rasa,Tribhuvankirti Rasa 100 gm,,,,,,,
Rasa,Vata Vidhvamsana Rasa 5 gm,,,,,,,
Rasa,Vata Vidhvamsana Rasa 100 gm,,,,,,,
Vati & Gutika,Agnitundi Vati 5 gm,,,,,,,
Vati & Gutika,Agnitundi Vati 500 gm,,,,,,,
Vati & Gutika,Arogyavardhini Gutika 10 gm,,,,,,,
Vati & Gutika,Arogyavardhini Gutika 500 gm,,,,,,,
Vati & Gutika,Chandraprabha Vati 10 gm,,,,,,,
Vati & Gutika,Chandraprabha Vati 500 gm,,,,,,,
Vati & Gutika,Chitrakadi Gutika 10 gm,,,,,,,
Vati & Gutika,Chitrakadi Gutika 500 gm,,,,,,,
Vati & Gutika,Eladi Gutika 10 gm,,,,,,,
Vati & Gutika,Eladi Gutika 500 gm,,,,,,,
Vati & Gutika,Gandhaka Vati 10 gm,,,,,,,
Vati & Gutika,Gandhaka Vati 500 gm,,,,,,,
Vati & Gutika,Kankayan Gutika 10 gm,,,,,,,
Vati & Gutika,Kankayan Gutika 500 gm,,,,,,,
Vati & Gutika,Khadiradi Gutika (Kasa) 10 gm,,,,,,,
Vati & Gutika,Khadiradi Gutika (Kasa) 500 gm,,,,,,,
Vati & Gutika,Khadiradi Gutika (Mukhroga) 10 gm,,,,,,,
Vati & Gutika,Khadiradi Gutika (Mukhroga) 500 gm,,,,,,,
Vati & Gutika,Lashunadi Vati 10 gm,,,,,,,
Vati & Gutika,Lashunadi Vati 500 gm,,,,,,,
Vati & Gutika,Lavangadi Vati 10 gm,,,,,,,
Vati & Gutika,Lavangadi Vati 500 gm,,,,,,,
Vati & Gutika,Mahashankha Vati 5 gm,,,,,,,
Vati & Gutika,Mahashankha Vati 500 gm,,,,,,,
